x:152 , y:359
x:235 , y:186
x:387 , y:389
x:176 , y:59
x:253 , y:211
x:153 , y:147
x:305 , y:17
x:304 , y:149
x:25 , y:335
x:319 , y:337
x:8 , y:306
x:96 , y:230
x:321 , y:330
x:31 , y:63
x:167 , y:271
x:311 , y:392
x:178 , y:32
x:374 , y:146
x:158 , y:118
x:329 , y:150
x:297 , y:11
x:28 , y:34
x:135 , y:155
x:42 , y:284
x:221 , y:160
x:66 , y:362
x:192 , y:181
x:63 , y:162
x:178 , y:65
x:337 , y:94
x:87 , y:297
x:330 , y:200
x:298 , y:217
x:287 , y:304
x:6 , y:56
x:67 , y:168
x:154 , y:255
x:362 , y:47
x:331 , y:289
x:49 , y:5
x:367 , y:104
x:237 , y:68
x:230 , y:159
x:176 , y:252
x:299 , y:8
x:258 , y:65
x:265 , y:338
x:155 , y:188
x:44 , y:164
x:172 , y:395
x:163 , y:2
x:257 , y:192
x:239 , y:318
x:207 , y:220
x:225 , y:123
x:227 , y:209
x:277 , y:144
x:255 , y:17
x:269 , y:59
x:68 , y:31
x:97 , y:168
x:106 , y:278
x:18 , y:314
x:30 , y:214
x:161 , y:14
x:16 , y:203
x:395 , y:324
x:194 , y:225
x:45 , y:186
x:309 , y:354
x:163 , y:222
x:366 , y:89
x:106 , y:392
x:51 , y:173
x:205 , y:327
x:96 , y:71
x:349 , y:302
x:168 , y:154
x:320 , y:367
x:381 , y:199
x:2 , y:81
x:358 , y:349
x:175 , y:397
x:183 , y:152
x:58 , y:172
x:395 , y:45
x:134 , y:221
x:165 , y:313
x:87 , y:192
x:119 , y:217
x:240 , y:244
x:98 , y:167
x:322 , y:190
x:109 , y:266
x:65 , y:194
x:276 , y:91
x:40 , y:67
x:16 , y:186
x:338 , y:167
x:340 , y:152
x:149 , y:397
x:170 , y:287
x:152 , y:283
x:75 , y:336
x:105 , y:239
x:35 , y:194
x:362 , y:345
x:87 , y:133
x:352 , y:236
x:382 , y:197
x:240 , y:17
x:37 , y:210
x:396 , y:232
x:0 , y:5
x:109 , y:287
x:236 , y:340
x:179 , y:258
x:141 , y:6
x:294 , y:331
x:171 , y:168
x:315 , y:351
x:249 , y:158
x:292 , y:229
x:65 , y:336
x:85 , y:244
x:213 , y:399
x:210 , y:277
x:110 , y:202
x:208 , y:206
x:45 , y:62
x:354 , y:317
x:176 , y:281
x:240 , y:133
x:64 , y:269
x:390 , y:86
x:38 , y:187
x:346 , y:305
x:134 , y:239
x:127 , y:190
x:386 , y:151
x:150 , y:213
x:90 , y:151
x:354 , y:360
x:119 , y:152
x:166 , y:162
x:31 , y:164
x:46 , y:72
x:205 , y:159
x:29 , y:238
x:324 , y:222
x:9 , y:19
x:276 , y:314
x:153 , y:307
x:49 , y:10
x:161 , y:281
x:46 , y:35
x:187 , y:263
x:224 , y:136
x:241 , y:93
x:255 , y:295
x:11 , y:359
x:32 , y:286
x:46 , y:57
x:247 , y:189
x:11 , y:27
x:398 , y:172
x:86 , y:373
x:280 , y:274
x:236 , y:240
x:73 , y:330
x:317 , y:349
x:212 , y:119
x:207 , y:56
x:149 , y:388
x:283 , y:0
x:360 , y:356
x:243 , y:295
x:304 , y:392
x:181 , y:241
x:220 , y:152
x:324 , y:145
x:118 , y:170
x:396 , y:362
x:154 , y:398
x:280 , y:232
x:133 , y:227
x:298 , y:150
x:206 , y:345
x:334 , y:106
x:106 , y:308
x:264 , y:217
x:64 , y:66
x:10 , y:59
x:252 , y:369
x:121 , y:144
x:289 , y:72
x:194 , y:397
x:311 , y:359
x:357 , y:190
x:374 , y:66
x:245 , y:190
x:340 , y:107
x:53 , y:144
x:250 , y:98
x:6 , y:387
x:156 , y:356
x:375 , y:271
x:282 , y:221
x:142 , y:337
x:33 , y:135
x:207 , y:263
x:212 , y:322
x:281 , y:2
x:144 , y:123
x:141 , y:191
x:333 , y:119
x:178 , y:387
x:83 , y:225
x:323 , y:183
x:122 , y:333
x:241 , y:330
x:153 , y:279
x:52 , y:168
x:106 , y:35
x:122 , y:194
x:9 , y:139
x:14 , y:330
x:284 , y:173
x:248 , y:247
x:390 , y:380
x:51 , y:390
x:329 , y:323
x:148 , y:230
x:13 , y:12
x:297 , y:24
x:306 , y:136
x:367 , y:138
x:307 , y:11
x:398 , y:371
x:165 , y:365
x:56 , y:121
x:51 , y:126
x:299 , y:70
x:270 , y:287
x:219 , y:147
x:89 , y:260
x:136 , y:271
x:53 , y:18
x:382 , y:236
x:260 , y:18
x:106 , y:279
x:18 , y:166
x:129 , y:73
x:44 , y:277
x:194 , y:128
x:249 , y:161
x:287 , y:250
x:273 , y:252
x:139 , y:138
x:286 , y:143
x:355 , y:310
x:181 , y:327
x:298 , y:91
x:280 , y:234
x:253 , y:280
x:160 , y:140
x:259 , y:359
x:385 , y:130
x:359 , y:388
x:116 , y:381
x:143 , y:153
x:3 , y:317
x:169 , y:382
x:121 , y:276
x:371 , y:260
x:171 , y:359
x:286 , y:327
x:370 , y:352
x:139 , y:184
x:17 , y:202
x:343 , y:344
x:255 , y:177
x:259 , y:154
x:94 , y:240
x:174 , y:218
x:371 , y:163
x:80 , y:317
x:251 , y:326
x:155 , y:250
x:62 , y:372
x:283 , y:78
x:5 , y:233
x:186 , y:170
x:306 , y:328
x:130 , y:277
x:221 , y:323
x:52 , y:25
x:131 , y:28
x:269 , y:311
x:129 , y:178
x:341 , y:395
x:312 , y:52
x:331 , y:373
x:175 , y:115
x:88 , y:86
x:164 , y:238
x:71 , y:371
x:93 , y:122
x:2 , y:209
x:38 , y:0
x:275 , y:84
x:62 , y:259
x:288 , y:328
x:191 , y:193
x:371 , y:109
x:104 , y:321
x:325 , y:264
x:190 , y:368
x:83 , y:256
x:294 , y:317
x:155 , y:123
x:47 , y:11
x:85 , y:179
x:340 , y:92
x:92 , y:87
x:123 , y:379
x:190 , y:320
x:248 , y:185
x:379 , y:78
x:139 , y:39
x:312 , y:302
x:119 , y:195
x:115 , y:190
x:398 , y:309
x:226 , y:199
x:274 , y:293
x:256 , y:334
x:65 , y:321
x:14 , y:341
x:380 , y:5
x:336 , y:58
x:330 , y:103
x:289 , y:127
x:157 , y:130
x:122 , y:220
x:122 , y:297
x:44 , y:34
x:176 , y:193
x:54 , y:160
x:311 , y:175
x:20 , y:233
x:167 , y:185
x:59 , y:276
x:169 , y:184
x:189 , y:25
x:35 , y:149
x:252 , y:78
x:205 , y:366
x:96 , y:141
x:361 , y:362
x:211 , y:218
x:205 , y:36
x:229 , y:256
x:368 , y:333
x:60 , y:284
x:117 , y:279
x:64 , y:80
x:308 , y:236
x:20 , y:75
x:100 , y:77
x:226 , y:161
x:239 , y:88
x:54 , y:79
x:172 , y:396
x:359 , y:102
x:273 , y:86
x:122 , y:122
x:330 , y:30
x:363 , y:351
x:187 , y:298
x:129 , y:24
x:56 , y:256
x:92 , y:194
x:221 , y:365
x:394 , y:64
x:226 , y:274
x:362 , y:221
x:252 , y:17
x:14 , y:368
x:22 , y:376
x:62 , y:325
x:47 , y:295
x:277 , y:184
x:88 , y:330
x:180 , y:241
x:217 , y:227
x:84 , y:310
x:56 , y:225
x:190 , y:176
x:241 , y:277
x:151 , y:137
x:358 , y:19
x:36 , y:65
x:385 , y:162
x:138 , y:2
x:327 , y:8
x:255 , y:201
x:337 , y:327
x:209 , y:133
x:326 , y:377
x:205 , y:389
x:299 , y:143
x:320 , y:289
x:17 , y:355
x:233 , y:111
x:248 , y:210
x:181 , y:336
x:354 , y:158
x:272 , y:170
x:172 , y:339
x:347 , y:362
x:163 , y:52
x:331 , y:203
x:288 , y:53
x:30 , y:140
x:129 , y:214
x:309 , y:187
x:76 , y:381
x:336 , y:229
x:292 , y:46
x:208 , y:121
x:10 , y:92
x:202 , y:390
x:160 , y:364
x:303 , y:74
x:37 , y:332
x:336 , y:203
x:358 , y:152
x:205 , y:267
x:359 , y:246
x:60 , y:188
x:375 , y:41
x:22 , y:369
x:198 , y:4
x:2 , y:310
x:32 , y:43
x:135 , y:210
x:200 , y:394
x:358 , y:338
x:12 , y:312
x:197 , y:213
x:368 , y:1
x:154 , y:133
x:353 , y:326
x:172 , y:311
x:51 , y:312
x:353 , y:184
x:105 , y:27
x:383 , y:375
x:238 , y:256
x:299 , y:337
x:147 , y:270
x:216 , y:34
x:372 , y:300
x:164 , y:174
x:339 , y:337
x:338 , y:361
x:95 , y:260
x:186 , y:44
x:356 , y:0
x:312 , y:311
x:95 , y:7
x:386 , y:218
x:145 , y:201
x:9 , y:321
x:258 , y:383
x:205 , y:308
x:342 , y:358
x:210 , y:21
x:147 , y:267
x:156 , y:374
x:336 , y:39
x:299 , y:46
x:91 , y:383
x:383 , y:85
x:348 , y:399
x:358 , y:247
x:65 , y:396
x:149 , y:345
x:218 , y:211
x:194 , y:158
x:66 , y:77
x:387 , y:352
x:373 , y:360
x:227 , y:197
x:171 , y:121
x:160 , y:383
x:30 , y:59
x:394 , y:59
x:96 , y:73
x:72 , y:377
x:177 , y:45
x:41 , y:30
x:327 , y:242
x:5 , y:190
x:348 , y:146
x:175 , y:152
x:104 , y:366
x:326 , y:114
x:311 , y:77
x:150 , y:154
x:89 , y:34
x:46 , y:310
x:321 , y:71
x:144 , y:40
x:370 , y:370
x:15 , y:168
x:151 , y:147
x:341 , y:8
x:150 , y:78
x:176 , y:347
x:51 , y:50
x:16 , y:303
x:17 , y:155
x:184 , y:342
x:96 , y:280
x:315 , y:287
x:149 , y:138
x:161 , y:313
x:353 , y:71
x:393 , y:258
x:26 , y:323
x:22 , y:8
x:368 , y:177
x:208 , y:364
x:263 , y:118
x:168 , y:384
x:288 , y:266
x:373 , y:184
x:78 , y:257
x:138 , y:157
x:396 , y:175
x:265 , y:5
x:318 , y:146
x:169 , y:26
x:284 , y:271
x:147 , y:162
x:122 , y:263
x:392 , y:169
x:85 , y:90
x:160 , y:200
x:137 , y:348
x:166 , y:280
x:16 , y:377
x:234 , y:139
x:249 , y:94
x:221 , y:324
x:329 , y:245
x:391 , y:86
x:65 , y:247
x:71 , y:112
x:274 , y:301
x:116 , y:218
x:339 , y:396
x:38 , y:109
x:261 , y:25
x:325 , y:198
x:78 , y:350
x:279 , y:92
x:183 , y:94
x:141 , y:114
x:390 , y:32
x:278 , y:362
x:1 , y:320
x:119 , y:221
x:334 , y:66
x:319 , y:190
x:360 , y:208
x:157 , y:36
x:97 , y:300
x:277 , y:195
x:394 , y:358
x:261 , y:154
x:198 , y:24
x:71 , y:140
x:206 , y:382
x:14 , y:212
x:126 , y:197
x:117 , y:244
x:66 , y:127
x:145 , y:236
x:379 , y:0
x:208 , y:65
x:53 , y:339
x:191 , y:365
x:113 , y:150
x:108 , y:68
x:175 , y:59
x:83 , y:321
x:62 , y:373
x:307 , y:106
x:270 , y:268
x:65 , y:274
x:118 , y:349
x:76 , y:182
x:371 , y:184
x:184 , y:174
x:239 , y:350
x:289 , y:345
x:262 , y:292
x:42 , y:33
x:101 , y:375
x:34 , y:102
x:24 , y:228
x:202 , y:70
x:176 , y:38
x:306 , y:61
x:335 , y:399
x:348 , y:372
x:106 , y:54
x:238 , y:24
x:150 , y:29
x:331 , y:375
x:272 , y:389
x:233 , y:221
x:254 , y:134
x:110 , y:227
x:282 , y:307
x:136 , y:144
x:214 , y:258
x:296 , y:290
x:351 , y:343
x:342 , y:202
x:126 , y:239
x:293 , y:290
x:266 , y:185
x:214 , y:83
x:10 , y:17
x:358 , y:146
x:319 , y:282
x:17 , y:144
x:371 , y:125
x:384 , y:79
x:223 , y:205
x:63 , y:72
x:362 , y:390
x:285 , y:359
x:114 , y:266
x:57 , y:227
x:69 , y:240
x:377 , y:350
x:385 , y:287
x:256 , y:192
x:290 , y:348
x:230 , y:215
x:311 , y:161
x:286 , y:199
x:278 , y:234
x:40 , y:270
x:295 , y:54
x:396 , y:103
x:15 , y:209
x:27 , y:281
x:60 , y:129
x:321 , y:84
x:386 , y:129
x:368 , y:299
x:43 , y:372
x:272 , y:225
x:392 , y:333
x:94 , y:102
x:254 , y:303
x:137 , y:332
x:154 , y:84
x:138 , y:177
x:233 , y:49
x:259 , y:86
x:367 , y:248
x:329 , y:286
x:371 , y:27
x:108 , y:250
x:101 , y:357
x:281 , y:29
x:254 , y:144
x:29 , y:105
x:208 , y:198
x:101 , y:75
x:7 , y:14
x:98 , y:190
x:320 , y:114
x:163 , y:189
x:275 , y:153
x:353 , y:374
x:213 , y:243
x:222 , y:282
x:84 , y:136
x:45 , y:283
x:312 , y:138
x:282 , y:327
x:32 , y:166
x:364 , y:264
x:339 , y:192
x:158 , y:17
x:207 , y:299
x:13 , y:257
x:46 , y:79
x:232 , y:176
x:103 , y:321
x:116 , y:137
x:371 , y:316
x:52 , y:291
x:174 , y:8
x:146 , y:97
x:376 , y:86
x:204 , y:380
x:244 , y:361
x:105 , y:120
x:137 , y:136
x:35 , y:264
x:73 , y:296
x:376 , y:48
x:176 , y:71
x:344 , y:160
x:250 , y:231
x:147 , y:61
x:352 , y:221
x:181 , y:151
x:249 , y:78
x:164 , y:327
x:260 , y:177
x:90 , y:320
x:40 , y:56
x:192 , y:196
x:12 , y:129
x:377 , y:227
x:227 , y:85
x:156 , y:305
x:18 , y:356
x:187 , y:52
x:65 , y:268
x:41 , y:287
x:38 , y:369
x:47 , y:223
x:102 , y:239
x:369 , y:163
x:83 , y:362
x:19 , y:59
x:207 , y:123
x:204 , y:211
x:391 , y:219
x:256 , y:182
x:87 , y:170
x:78 , y:364
x:17 , y:105
x:373 , y:218
x:105 , y:82
x:52 , y:367
x:190 , y:95
x:287 , y:99
x:263 , y:292
x:207 , y:256
x:315 , y:298
x:22 , y:226
x:389 , y:75
x:294 , y:178
x:360 , y:332
x:103 , y:151
x:115 , y:0
x:105 , y:133
x:351 , y:132
x:167 , y:31
x:350 , y:56
x:104 , y:219
x:318 , y:140
x:384 , y:391
x:247 , y:133
x:32 , y:191
x:369 , y:114
x:141 , y:6
x:184 , y:311
x:243 , y:36
x:187 , y:97
x:97 , y:298
x:32 , y:254
x:339 , y:154
x:137 , y:383
x:392 , y:106
x:325 , y:87
x:179 , y:96
x:39 , y:195
x:281 , y:164
x:307 , y:238
x:304 , y:313
x:271 , y:229
x:140 , y:46
x:82 , y:7
x:104 , y:383
x:234 , y:221
x:75 , y:153
x:308 , y:266
x:201 , y:366
x:72 , y:397
x:85 , y:193
x:241 , y:349
x:145 , y:264
x:380 , y:280
x:118 , y:26
x:291 , y:240
x:69 , y:375
x:21 , y:114
x:121 , y:161
x:96 , y:103
x:276 , y:178
x:331 , y:330
x:148 , y:303
x:270 , y:191
x:189 , y:350
x:95 , y:342
x:244 , y:226
x:42 , y:289
x:121 , y:389
x:367 , y:23
x:215 , y:192
x:167 , y:210
x:324 , y:236
x:397 , y:188
x:243 , y:397
x:175 , y:45
x:376 , y:119
x:374 , y:59
x:202 , y:76
x:378 , y:244
x:139 , y:391
x:217 , y:74
x:315 , y:383
x:324 , y:260
x:235 , y:36
x:228 , y:291
x:53 , y:50
x:286 , y:395
x:135 , y:329
x:326 , y:235
x:280 , y:378
x:49 , y:54
x:113 , y:208
x:285 , y:376
x:220 , y:315
x:259 , y:263
x:289 , y:311
x:246 , y:28
x:240 , y:156
x:193 , y:170
x:13 , y:27
x:29 , y:373
x:321 , y:18
x:347 , y:315
x:102 , y:56
x:387 , y:274
x:280 , y:383
x:143 , y:36
x:12 , y:393
x:260 , y:28
x:244 , y:185
x:48 , y:71
x:52 , y:85
x:194 , y:295
x:17 , y:292
x:272 , y:387
x:360 , y:383
x:353 , y:301
x:169 , y:281
x:290 , y:301
x:127 , y:271
x:206 , y:277
x:265 , y:7
x:352 , y:350
x:330 , y:230
x:367 , y:164
x:236 , y:126
x:212 , y:15
x:262 , y:288
x:132 , y:358
x:345 , y:232
x:167 , y:4
x:306 , y:257
x:91 , y:72
x:373 , y:27
x:298 , y:333
x:210 , y:100
x:59 , y:105
x:55 , y:27
x:257 , y:11
x:176 , y:337
x:64 , y:176
x:192 , y:364
x:252 , y:228
x:186 , y:6
x:190 , y:336
x:293 , y:83
x:340 , y:309
x:382 , y:151
x:178 , y:383
x:316 , y:307
x:8 , y:76
x:133 , y:78
x:106 , y:19
x:31 , y:140
x:78 , y:315
x:92 , y:159
x:123 , y:142
x:370 , y:236
x:194 , y:327
x:215 , y:156
x:239 , y:385
x:246 , y:108
x:259 , y:131
x:67 , y:228
x:136 , y:37
x:66 , y:383
x:14 , y:96
x:67 , y:199
x:340 , y:120
x:387 , y:98
x:209 , y:18
x:112 , y:31
x:267 , y:332
x:211 , y:82
x:190 , y:14
x:351 , y:27
x:135 , y:29
x:112 , y:197
x:378 , y:347
x:336 , y:179
x:163 , y:66
x:162 , y:2
x:154 , y:129
x:201 , y:229
x:280 , y:94
x:64 , y:188
x:220 , y:41
x:374 , y:176
x:210 , y:39
x:53 , y:137
x:164 , y:0
x:381 , y:4
x:202 , y:252
x:199 , y:93
x:273 , y:180
x:198 , y:87
x:90 , y:388
x:117 , y:360
x:141 , y:244
x:290 , y:318
x:106 , y:373
x:15 , y:306
x:34 , y:278
x:318 , y:341
x:78 , y:244
x:196 , y:323
x:328 , y:195
x:399 , y:177
x:222 , y:82
x:214 , y:150
x:237 , y:95
x:83 , y:12
x:324 , y:327
x:123 , y:200
x:70 , y:65
x:391 , y:365
x:271 , y:129
x:7 , y:6
x:299 , y:257
x:53 , y:277
x:201 , y:329
x:124 , y:201
x:378 , y:81
x:163 , y:123
x:225 , y:201
x:248 , y:377
x:389 , y:63
x:342 , y:332
x:84 , y:265
x:330 , y:66
x:383 , y:107
x:236 , y:273
x:231 , y:207
x:64 , y:195
x:73 , y:130
x:60 , y:70
x:271 , y:226
x:307 , y:184
x:260 , y:250
x:3 , y:70
x:399 , y:37
x:100 , y:251
x:135 , y:340
x:205 , y:43
x:61 , y:172
x:279 , y:87
x:361 , y:44
x:251 , y:115
x:310 , y:192
x:323 , y:268
x:338 , y:335
x:161 , y:335
x:71 , y:161
x:363 , y:68
x:90 , y:331
x:369 , y:366
x:170 , y:89
x:29 , y:21
x:16 , y:257
x:29 , y:186
x:274 , y:77
x:74 , y:308
x:375 , y:187
x:379 , y:277
x:145 , y:238
x:173 , y:254
x:189 , y:35
x:149 , y:287
x:307 , y:261
x:144 , y:112
x:31 , y:398
x:39 , y:65
x:87 , y:201
x:58 , y:21
x:207 , y:103
x:133 , y:40
x:348 , y:33
x:220 , y:207
x:36 , y:276
x:114 , y:200
x:6 , y:134
x:121 , y:239
x:78 , y:196
x:57 , y:270
x:383 , y:386
x:384 , y:153
x:219 , y:14
x:167 , y:375
x:396 , y:258
x:313 , y:225
x:217 , y:156
x:189 , y:46
x:205 , y:166
x:394 , y:10
x:162 , y:242
x:376 , y:60
x:251 , y:168
x:364 , y:97
x:320 , y:330
x:316 , y:373
x:79 , y:303
x:317 , y:252
x:179 , y:298
x:108 , y:36
x:213 , y:176
x:332 , y:21
x:20 , y:31
x:197 , y:121
x:83 , y:177
x:371 , y:143
x:203 , y:245
x:14 , y:347
x:397 , y:6
x:336 , y:330
x:256 , y:317
x:172 , y:204
x:8 , y:335
x:233 , y:41
x:77 , y:188
x:316 , y:293
x:314 , y:290
x:321 , y:248
x:321 , y:286
x:64 , y:70
x:213 , y:357
x:202 , y:35
x:335 , y:368
x:375 , y:168
x:99 , y:284
x:201 , y:263
x:68 , y:355
x:242 , y:325
x:366 , y:28
x:216 , y:27
x:320 , y:43
x:333 , y:132
x:332 , y:186
x:73 , y:255
x:277 , y:206
x:163 , y:89
x:76 , y:91
x:11 , y:365
x:86 , y:11
x:295 , y:338
x:202 , y:185
x:92 , y:48
x:373 , y:222
x:250 , y:334
x:313 , y:339
x:334 , y:67
x:151 , y:233
x:19 , y:268
x:75 , y:84
x:242 , y:44
x:133 , y:352
x:395 , y:5
x:322 , y:210
x:173 , y:7
x:345 , y:8
x:145 , y:21
x:21 , y:99
x:321 , y:189
x:123 , y:347
x:238 , y:172
x:191 , y:36
x:221 , y:173
x:393 , y:342
x:378 , y:241
x:237 , y:20
x:372 , y:172
x:177 , y:323
x:133 , y:320
x:327 , y:100
x:60 , y:258
x:231 , y:224
x:324 , y:206
x:395 , y:253
x:200 , y:197
x:321 , y:71
x:59 , y:390
x:163 , y:112
x:7 , y:281
x:74 , y:108
x:128 , y:337
x:110 , y:311
x:234 , y:101
x:21 , y:287
x:339 , y:319
x:130 , y:300
x:76 , y:352
x:158 , y:361
x:166 , y:352
x:150 , y:105
x:176 , y:366
x:357 , y:71
x:136 , y:188
x:69 , y:72
x:181 , y:143
x:80 , y:95
x:358 , y:309
x:362 , y:142
x:382 , y:145
x:16 , y:335
x:235 , y:273
x:225 , y:146
x:60 , y:264
x:216 , y:383
x:89 , y:226
x:145 , y:366
x:390 , y:217
x:5 , y:54
x:126 , y:126
x:269 , y:26
x:121 , y:307
x:169 , y:301
x:396 , y:32
x:177 , y:131
x:19 , y:378
x:251 , y:145
x:244 , y:254
x:70 , y:29
x:12 , y:304
x:130 , y:287
x:253 , y:53
x:223 , y:275
x:281 , y:243
x:369 , y:228
x:255 , y:8
x:267 , y:190
x:44 , y:328
x:312 , y:388
x:72 , y:40
x:18 , y:89
x:187 , y:91
x:297 , y:221
x:250 , y:31
x:335 , y:368
x:255 , y:215
x:220 , y:17
x:245 , y:60
x:256 , y:43
x:272 , y:126
x:134 , y:177
x:368 , y:79
x:359 , y:354
x:342 , y:12
x:52 , y:272
x:313 , y:14
x:105 , y:22
x:243 , y:100
x:83 , y:3
x:323 , y:94
x:261 , y:18
x:388 , y:178
x:238 , y:81
x:125 , y:233
x:359 , y:46
x:224 , y:349
x:380 , y:46
x:352 , y:192
x:156 , y:291
x:163 , y:294
x:309 , y:208
x:182 , y:29
x:81 , y:366
x:321 , y:25
x:71 , y:165
x:135 , y:244
x:22 , y:332
x:14 , y:123
x:308 , y:213
x:259 , y:91
x:40 , y:268
x:266 , y:35
x:227 , y:20
x:311 , y:218
x:112 , y:335
x:95 , y:27
x:8 , y:373
x:292 , y:277
x:303 , y:41
x:158 , y:213
x:58 , y:326
x:211 , y:294
x:369 , y:32
x:197 , y:225
x:316 , y:278
x:98 , y:9
x:44 , y:308
x:280 , y:364
x:134 , y:224
x:111 , y:191
x:170 , y:198
x:124 , y:207
x:84 , y:130
x:172 , y:16
x:229 , y:339
x:218 , y:330
x:176 , y:239
x:224 , y:29
x:254 , y:98
x:328 , y:373
x:382 , y:122
x:382 , y:26
x:342 , y:379
x:203 , y:262
x:53 , y:28
x:226 , y:266
x:73 , y:176
x:306 , y:350
x:366 , y:110
x:49 , y:30
x:313 , y:148
x:339 , y:267
x:248 , y:41
x:139 , y:115
x:89 , y:54
x:176 , y:19
x:45 , y:71
x:2 , y:158
x:372 , y:339
x:367 , y:157
x:24 , y:26
x:154 , y:146
x:48 , y:97
x:207 , y:12
x:43 , y:15
x:115 , y:209
x:28 , y:356
x:397 , y:6
x:122 , y:277
x:331 , y:89
x:108 , y:163
x:234 , y:60
x:170 , y:106
x:397 , y:189
x:346 , y:143
x:121 , y:317
x:63 , y:370
x:20 , y:275
x:287 , y:111
x:78 , y:227
x:388 , y:282
x:238 , y:145
x:104 , y:17
x:294 , y:188
x:229 , y:226
x:389 , y:225
x:237 , y:289
x:347 , y:175
x:316 , y:8
x:151 , y:345
x:262 , y:263
x:185 , y:272
x:99 , y:277
x:340 , y:205
x:385 , y:386
x:269 , y:371
x:116 , y:373
x:390 , y:59
x:199 , y:220
x:398 , y:236
x:14 , y:380
x:270 , y:339
x:67 , y:251
x:259 , y:217
x:114 , y:383
x:198 , y:10
x:234 , y:376
x:205 , y:384
x:141 , y:333
x:320 , y:98
x:69 , y:126
x:52 , y:141
x:152 , y:137
x:310 , y:394
x:231 , y:304
x:284 , y:308
x:200 , y:245
x:96 , y:106
x:324 , y:219
x:154 , y:356
x:318 , y:38
x:367 , y:353
x:289 , y:153
x:86 , y:124
x:222 , y:30
x:109 , y:358
x:51 , y:291
x:29 , y:161
x:155 , y:204
x:60 , y:339
x:199 , y:386
x:183 , y:344
x:51 , y:351
x:170 , y:232
x:140 , y:327
x:317 , y:277
x:230 , y:58
x:163 , y:236
x:361 , y:71
x:101 , y:202
x:160 , y:183
x:27 , y:162
x:323 , y:164
x:320 , y:8
x:299 , y:31
x:369 , y:380
x:324 , y:98
x:2 , y:153
x:385 , y:327
x:206 , y:124
x:1 , y:125
x:135 , y:124
x:360 , y:231
x:302 , y:299
x:53 , y:273
x:57 , y:356
x:118 , y:165
x:329 , y:36
x:44 , y:394
x:25 , y:249
x:229 , y:343
x:393 , y:394
x:99 , y:106
x:385 , y:395
x:120 , y:36
x:113 , y:192
x:316 , y:73
x:257 , y:249
x:100 , y:228
x:102 , y:159
x:67 , y:153
x:318 , y:111
x:99 , y:138
x:132 , y:200
x:49 , y:143
x:38 , y:109
x:103 , y:231
x:337 , y:383
x:379 , y:155
x:191 , y:274
x:66 , y:51
x:124 , y:305
x:106 , y:334
x:163 , y:381
x:93 , y:158
x:263 , y:217
x:280 , y:112
x:250 , y:181
